Rating,Founded,employer_provided,min_salary,max_salary,avg_salary,same_state,age,python_yn,excel
3.8,1973,0,53,91,72,0,47,1,1
3.4,1984,0,63,112,87.5,0,36,1,0
4.8,2010,0,80,90,85,1,10,1,1
3.8,1965,0,56,97,76.5,1,55,1,0
2.9,1998,0,86,143,114.5,1,22,1,1
3.4,2000,0,71,119,95,1,20,1,1
4.1,2008,0,54,93,73.5,1,12,0,1
3.8,2005,0,86,142,114,0,15,1,1
3.3,2014,0,38,84,61,1,6,0,0
4.6,2009,0,120,160,140,1,11,1,0
3.5,2011,0,126,201,163.5,0,9,1,0
4.1,1968,0,64,106,85,0,52,0,0
3.2,1962,0,106,172,139,0,58,0,0
4.1,2012,0,46,85,65.5,1,8,1,1
3.7,1781,0,83,144,113.5,0,239,1,0
3.6,1995,0,102,190,146,1,25,0,1
3.9,2011,0,67,137,102,1,9,0,1
4.3,2011,0,118,189,153.5,1,9,1,1
4.2,2010,0,110,175,142.5,1,10,0,0
4,1915,0,64,111,87.5,1,105,1,1
3.2,2012,0,81,130,105.5,1,8,1,0
3.9,2013,0,73,119,96,0,7,0,1
3.8,1995,0,86,139,112.5,0,25,1,1
4.3,1935,0,63,105,84,0,85,1,1
4,2012,0,109,177,143,0,8,1,0
4,1849,0,63,110,86.5,0,171,1,1
3.5,1952,0,75,124,99.5,0,68,1,1
3.7,1852,0,34,61,47.5,1,168,0,1
4,1849,0,63,105,84,0,171,0,1
4.8,2010,0,80,90,85,1,10,1,1
3.8,1965,0,56,97,76.5,1,55,1,0
3.6,1997,0,72,120,96,1,23,1,0
3.8,1996,0,86,143,114.5,0,24,1,0
3.8,1996,0,93,149,121,1,24,1,1
4.7,1974,0,85,140,112.5,1,46,1,1
4.2,2008,0,77,135,106,0,12,1,1
3.5,1969,0,82,132,107,1,51,1,0
4.7,2010,0,83,137,110,1,10,1,1
3.5,1870,0,115,180,147.5,0,150,1,1
3.5,1985,0,74,138,106,1,35,1,1
4.2,2008,0,64,112,88,1,12,1,1
3.6,-1,0,68,129,98.5,0,-1,0,1
4.2,2010,0,110,175,142.5,1,10,0,0
3.4,2015,0,52,113,82.5,0,5,0,0
4.3,1993,0,110,150,130,1,27,1,1
5,-1,1,150,160,155,0,-1,0,1
3.7,1958,0,158,211,184.5,0,62,1,1
3.1,1986,0,20,39,29.5,0,34,0,1
4.7,1999,0,56,117,86.5,0,21,0,0
3.7,1925,0,63,99,81,0,95,0,0
3.8,1984,0,68,114,91,1,36,1,1
3.3,1912,0,86,143,114.5,1,108,1,0
4.6,2002,0,41,95,68,1,18,1,1
3.7,1863,0,86,144,115,0,157,1,1
3.7,1939,0,80,139,109.5,0,81,0,1
3.5,1870,0,56,95,75.5,0,150,1,1
4.1,2012,0,120,189,154.5,0,8,1,1
4.7,2016,0,111,176,143.5,1,4,1,0
4.1,2008,0,54,93,73.5,1,12,0,1
3.4,2000,0,71,119,95,1,20,1,1
4.4,1885,0,82,132,107,1,135,1,0
4.3,2011,0,84,146,115,1,9,1,0
3.8,2006,0,107,172,139.5,1,14,0,0
3.8,1965,0,49,85,67,1,55,0,0
3.8,1948,0,61,109,85,1,72,1,0
2.8,2006,0,88,148,118,1,14,1,1
4.7,2003,0,60,99,79.5,1,17,1,1
3.1,1999,0,41,72,56.5,1,21,1,0
3.2,-1,0,96,161,128.5,0,-1,1,0
4,1939,0,65,130,97.5,0,81,0,0
4.4,2015,0,52,81,66.5,0,5,1,0
3.6,1927,0,139,220,179.5,1,93,1,1
2.7,1978,0,50,102,76,0,42,0,1
3.9,2010,0,85,139,112,0,10,1,0
3.1,1860,0,74,122,98,0,160,1,0
4,1939,0,99,157,128,0,81,0,0
4.3,2011,0,79,222,150.5,1,9,1,1
1.9,2000,0,57,118,87.5,1,20,0,0
3.3,2017,0,83,137,110,0,3,1,1
4.4,1995,0,86,141,113.5,0,25,1,1
3.9,2016,0,94,154,124,1,4,1,0
4.7,1997,0,37,76,56.5,1,23,0,1
4.5,1942,0,100,160,130,1,78,1,1
4.3,2008,0,55,100,77.5,1,12,0,1
4,2002,0,60,114,87,1,18,1,1
4.4,1948,0,39,68,53.5,1,72,0,1
3.2,1962,0,106,172,139,0,58,0,0
3.8,2005,0,86,142,114,0,15,1,1
4.2,2008,0,64,107,85.5,1,12,1,1
4.5,1996,0,31,65,48,0,24,0,1
3.5,1999,0,34,62,48,1,21,0,1
3.5,1990,0,117,231,174,1,30,0,1
3.9,1968,0,64,106,85,0,52,1,0
4.7,2003,0,79,134,106.5,0,17,0,0
4.2,1988,0,52,93,72.5,0,32,0,1
3.4,1996,0,55,116,85.5,0,24,0,0
3.2,1958,0,72,123,97.5,0,62,1,1
